sample_id,predicted_price,lower_range,upper_range
210101,27.05,0.04,54.06
22348,-0.28,-27.3,26.73
69365,46.04,19.02,73.05
43008,15.68,-11.33,42.69
182264,9.24,-17.77,36.26
117130,23.25,-3.77,50.26
236193,32.78,5.77,59.8
202733,126.63,99.61,153.64
35395,-12.76,-39.78,14.25
66928,37.41,10.4,64.43
201717,17.63,-9.38,44.64
239169,10.18,-16.83,37.2
191671,40.58,13.56,67.59
240701,23.56,-3.45,50.58
172422,27.32,0.31,54.33
166878,-11.95,-38.97,15.06
31920,3.61,-23.4,30.63
247546,17.03,-9.98,44.05
7411,16.16,-10.85,43.18
218503,-5.03,-32.05,21.98
86106,19.25,-7.76,46.26
115306,29.27,2.26,56.29
182492,3.82,-23.19,30.83
202254,161.54,134.53,188.55
164888,25.83,-1.18,52.85
7984,20.86,-6.15,47.88
3294,121.32,94.3,148.33
181347,-3.91,-30.93,23.1
159362,12.28,-14.73,39.3
273689,52.15,25.14,79.17
51564,-2.3,-29.32,24.71
81259,-9.99,-37.0,17.02
131791,-1.98,-28.99,25.04
228657,27.09,0.07,54.1
21269,16.23,-10.78,43.25
17024,-15.79,-42.8,11.22
286405,53.95,26.93,80.96
14079,7.65,-19.36,34.67
129107,31.05,4.04,58.06
224077,10.02,-17.0,37.03
125263,19.99,-7.02,47.0
275308,0.84,-26.17,27.86
189369,3.8,-23.21,30.81
62153,35.09,8.07,62.1
148336,31.82,4.81,58.83
39817,24.36,-2.65,51.37
296273,23.26,-3.75,50.28
3762,17.3,-9.71,44.31
283764,58.51,31.5,85.53
167015,28.98,1.97,56.0
167146,47.08,20.07,74.09
88555,10.84,-16.17,37.85
75673,-1.03,-28.04,25.99
133577,17.67,-9.34,44.68
208446,36.51,9.49,63.52
116477,49.13,22.12,76.14
124069,20.27,-6.74,47.28
274873,21.5,-5.52,48.51
156028,46.35,19.34,73.37
126465,31.53,4.52,58.55
188613,11.13,-15.88,38.14
117358,9.05,-17.96,36.06
137859,19.02,-8.0,46.03
76461,12.32,-14.69,39.33
144305,40.93,13.91,67.94
108235,13.49,-13.52,40.5
203467,32.78,5.77,59.8
114665,6.63,-20.38,33.64
255165,22.15,-4.86,49.16
46363,12.77,-14.24,39.78
248456,10.95,-16.06,37.97
273526,2.19,-24.82,29.2
30664,41.08,14.07,68.1
60806,61.2,34.18,88.21
67927,13.64,-13.37,40.66
155886,0.26,-26.75,27.27
264011,10.33,-16.69,37.34
209694,11.45,-15.56,38.47
150391,37.84,10.82,64.85
79260,48.21,21.19,75.22
6306,40.67,13.65,67.68
142282,43.58,16.57,70.6
71590,10.3,-16.72,37.31
240535,14.03,-12.99,41.04
146884,13.36,-13.65,40.38
230905,0.63,-26.39,27.64
160200,1.59,-25.42,28.6
39416,17.02,-9.99,44.03
169191,25.56,-1.45,52.57
274674,7.37,-19.64,34.39
44612,15.56,-11.46,42.57
65166,30.06,3.04,57.07
193140,39.53,12.52,66.54
259502,22.44,-4.57,49.45
74357,-2.86,-29.87,24.15
218798,27.52,0.5,54.53
233065,30.5,3.49,57.51
72342,33.75,6.73,60.76
72067,28.58,1.57,55.6
84196,14.02,-12.99,41.03
107365,25.83,-1.18,52.84
26936,11.82,-15.19,38.83
272978,13.25,-13.76,40.26
45565,12.75,-14.27,39.76
93888,11.56,-15.45,38.57
237048,15.23,-11.78,42.24
136095,31.56,4.55,58.58
282038,17.53,-9.48,44.54
270438,18.02,-8.99,45.03
108458,11.04,-15.97,38.06
171908,19.33,-7.69,46.34
231177,26.51,-0.5,53.53
295482,19.48,-7.53,46.49
146177,17.56,-9.45,44.57
233511,25.0,-2.02,52.01
204586,56.82,29.81,83.84
272332,23.16,-3.85,50.17
20013,50.62,23.61,77.63
248978,28.36,1.34,55.37
81251,19.82,-7.19,46.83
167614,45.99,18.97,73.0
124087,39.18,12.16,66.19
291251,10.35,-16.67,37.36
2511,62.5,35.49,89.52
206609,11.91,-15.1,38.93
127502,15.07,-11.94,42.08
261368,21.16,-5.85,48.18
66293,28.94,1.93,55.96
19141,20.97,-6.04,47.98
215554,8.92,-18.1,35.93
251784,19.53,-7.48,46.54
280942,-10.1,-37.11,16.91
265271,39.17,12.16,66.19
255173,109.92,82.9,136.93
165947,27.56,0.55,54.58
185249,14.05,-12.96,41.06
86828,-1.37,-28.38,25.65
13491,12.45,-14.57,39.46
82516,17.24,-9.77,44.25
79135,3.08,-23.93,30.09
215511,29.78,2.77,56.8
2733,16.42,-10.59,43.43
105749,17.53,-9.48,44.55
272720,11.09,-15.92,38.1
168686,10.09,-16.92,37.1
3788,9.85,-17.16,36.86
177943,12.82,-14.2,39.83
39160,26.14,-0.87,53.16
164369,63.89,36.88,90.9
146900,63.63,36.62,90.64
71599,25.34,-1.67,52.36
31805,12.42,-14.59,39.43
65177,31.04,4.02,58.05
91401,1.55,-25.46,28.56
59342,10.87,-16.14,37.88
250421,11.07,-15.94,38.08
55945,27.89,0.88,54.9
172952,9.4,-17.61,36.41
184656,5.0,-22.01,32.01
195629,73.74,46.72,100.75
194822,18.21,-8.8,45.22
152840,6.86,-20.15,33.88
72337,18.4,-8.62,45.41
59184,13.56,-13.46,40.57
67074,24.43,-2.58,51.44
234638,24.64,-2.37,51.66
33808,27.12,0.11,54.13
124622,35.93,8.91,62.94
271271,28.38,1.37,55.39
198446,10.38,-16.63,37.4
192504,19.96,-7.06,46.97
124436,60.24,33.22,87.25
256100,20.69,-6.32,47.7
41876,4.83,-22.19,31.84
76807,-4.45,-31.46,22.57
132073,20.81,-6.2,47.83
9657,26.32,-0.7,53.33
39474,21.37,-5.64,48.39
47207,21.07,-5.94,48.08
129147,9.55,-17.46,36.57
169944,0.66,-26.36,27.67
127274,8.02,-18.99,35.04
66204,54.9,27.89,81.91
212009,70.12,43.11,97.13
93408,11.62,-15.4,38.63
201777,49.57,22.56,76.58
174512,13.65,-13.36,40.66
154686,24.71,-2.31,51.72
22275,29.4,2.39,56.42
36991,9.53,-17.48,36.55
112112,26.7,-0.31,53.72
211620,60.0,32.99,87.01
238772,20.2,-6.81,47.21
295040,68.34,41.33,95.35
87665,-0.78,-27.79,26.23
296813,26.3,-0.71,53.32
44704,51.36,24.35,78.38
197319,22.06,-4.96,49.07
270826,38.21,11.2,65.22
185492,7.58,-19.43,34.6
198241,48.15,21.14,75.17
191919,21.55,-5.47,48.56
294361,0.34,-26.67,27.36
215947,20.29,-6.72,47.3
64454,22.53,-4.49,49.54
189578,20.71,-6.3,47.73
111069,22.46,-4.55,49.48
270971,44.0,16.99,71.01
255696,20.89,-6.12,47.9
113777,28.39,1.38,55.41
106857,8.42,-18.59,35.43
214226,20.49,-6.53,47.5
268097,17.14,-9.87,44.16
94638,17.85,-9.16,44.86
134898,13.67,-13.34,40.69
225513,11.48,-15.53,38.49
221411,55.1,28.09,82.12
193026,12.92,-14.09,39.94
215272,35.62,8.61,62.63
293950,17.1,-9.91,44.11
74083,16.93,-10.08,43.94
6479,5.24,-21.77,32.25
21859,17.78,-9.24,44.79
135228,27.05,0.03,54.06
263361,17.57,-9.44,44.59
1831,61.77,34.76,88.78
156446,28.66,1.65,55.67
17314,21.88,-5.13,48.89
245291,4.78,-22.23,31.79
171425,15.79,-11.22,42.81
39667,1.29,-25.72,28.31
3550,71.26,44.24,98.27
280705,12.77,-14.25,39.78
17029,24.99,-2.02,52.01
136274,15.31,-11.7,42.32
274982,16.03,-10.98,43.05
231191,21.41,-5.61,48.42
82932,24.87,-2.14,51.89
197196,-0.78,-27.79,26.23
130340,24.27,-2.74,51.29
235609,20.71,-6.3,47.73
34652,35.87,8.86,62.88
273107,19.16,-7.85,46.17
200663,20.36,-6.65,47.38
149603,46.33,19.32,73.35
220733,36.13,9.11,63.14
251861,-4.09,-31.1,22.92
172242,17.41,-9.6,44.43
99834,4.2,-22.81,31.21
32297,20.7,-6.31,47.72
178981,17.4,-9.62,44.41
217556,26.97,-0.04,53.99
216333,16.89,-10.12,43.91
220717,26.1,-0.91,53.12
195040,17.48,-9.53,44.49
147682,73.27,46.26,100.29
183101,19.28,-7.74,46.29
151583,5.51,-21.5,32.52
37943,15.82,-11.19,42.83
93640,3.0,-24.02,30.01
286875,18.09,-8.92,45.1
207294,13.62,-13.39,40.64
196633,42.33,15.31,69.34
182280,9.98,-17.04,36.99
77165,1.74,-25.28,28.75
262403,22.09,-4.93,49.1
23520,18.05,-8.97,45.06
194351,23.36,-3.65,50.38
402,15.27,-11.74,42.29
106058,14.94,-12.07,41.95
7603,35.63,8.62,62.64
287712,30.28,3.26,57.29
260789,17.83,-9.19,44.84
48835,19.23,-7.79,46.24
156401,16.81,-10.2,43.82
52248,29.05,2.04,56.06
224633,26.99,-0.02,54.01
291119,6.56,-20.45,33.57
206125,28.93,1.92,55.94
220718,34.42,7.41,61.43
268878,15.82,-11.19,42.83
22787,15.98,-11.03,43.0
87537,12.21,-14.8,39.22
120063,23.86,-3.15,50.87
106361,25.02,-1.99,52.03
287764,26.26,-0.75,53.27
55196,25.19,-1.82,52.2
193960,23.73,-3.28,50.74
216337,11.31,-15.7,38.33
50253,69.26,42.25,96.27
170960,26.05,-0.97,53.06
144073,68.54,41.53,95.55
201477,3.37,-23.64,30.39
263102,76.38,49.37,103.39
202612,26.8,-0.21,53.81
228323,29.03,2.02,56.05
10373,19.84,-7.17,46.86
118238,26.22,-0.8,53.23
148947,12.05,-14.97,39.06
142345,70.72,43.7,97.73
84044,28.27,1.26,55.28
289330,16.89,-10.12,43.91
233938,33.65,6.63,60.66
12068,22.6,-4.41,49.61
266573,19.21,-7.8,46.23
247742,30.2,3.18,57.21
120806,4.57,-22.45,31.58
76474,53.56,26.55,80.58
196481,64.04,37.02,91.05
96295,11.77,-15.25,38.78
148380,56.83,29.81,83.84
137493,24.62,-2.4,51.63
54835,22.68,-4.34,49.69
132016,13.96,-13.05,40.97
204405,7.52,-19.49,34.53
257677,8.14,-18.87,35.16
114494,47.54,20.53,74.55
262627,2.13,-24.88,29.15
69995,16.58,-10.44,43.59
57055,66.32,39.31,93.34
280880,19.72,-7.29,46.73
71915,37.1,10.09,64.12
12865,9.62,-17.39,36.64
277020,13.43,-13.58,40.44
165102,19.0,-8.01,46.02
677,13.87,-13.14,40.88
24786,26.19,-0.82,53.2
48174,-1.91,-28.92,25.11
7354,45.63,18.62,72.65
234300,18.37,-8.64,45.39
71904,14.23,-12.79,41.24
207195,37.48,10.47,64.49
265747,15.87,-11.14,42.88
122675,19.51,-7.5,46.52
117269,19.35,-7.66,46.36
297779,38.75,11.74,65.77
79644,7.51,-19.5,34.53
186864,39.91,12.9,66.92
17652,-2.49,-29.5,24.52
127091,1.87,-25.14,28.88
174936,17.88,-9.14,44.89
171843,22.23,-4.79,49.24
46755,5.76,-21.25,32.78
26228,17.66,-9.35,44.68
157640,44.21,17.2,71.22
90584,1.43,-25.58,28.44
245967,25.66,-1.36,52.67
58392,44.08,17.07,71.1
66199,2.16,-24.86,29.17
162946,27.46,0.45,54.48
240448,15.45,-11.56,42.46
111586,31.47,4.46,58.49
129519,9.42,-17.59,36.43
126792,3.72,-23.29,30.74
121330,10.21,-16.8,37.22
248540,32.15,5.14,59.16
278391,16.22,-10.79,43.23
54763,1.3,-25.72,28.31
201621,30.93,3.91,57.94
46952,2.1,-24.92,29.11
288832,3.86,-23.15,30.87
227646,26.38,-0.63,53.39
176719,34.99,7.98,62.0
152219,61.7,34.69,88.72
264100,10.64,-16.37,37.65
281234,2.69,-24.32,29.71
293601,18.91,-8.11,45.92
40371,11.13,-15.88,38.14
286342,22.59,-4.42,49.61
82162,28.62,1.6,55.63
174378,28.03,1.02,55.05
85610,16.74,-10.27,43.75
93622,25.8,-1.22,52.81
201415,83.18,56.16,110.19
116819,42.61,15.6,69.62
30676,12.92,-14.09,39.94
243522,6.07,-20.94,33.08
110096,42.28,15.27,69.29
218463,26.32,-0.69,53.34
244730,1.08,-25.93,28.09
128662,11.15,-15.86,38.16
233413,16.89,-10.13,43.9
231341,53.03,26.02,80.05
25150,10.95,-16.07,37.96
215004,90.9,63.89,117.92
160629,51.07,24.06,78.09
269887,10.77,-16.24,37.79
294750,20.22,-6.79,47.23
258244,16.09,-10.92,43.1
91169,6.83,-20.19,33.84
2563,56.53,29.51,83.54
149424,-4.84,-31.85,22.17
241069,14.62,-12.39,41.64
214130,9.82,-17.19,36.84
210658,17.68,-9.34,44.69
34249,56.82,29.81,83.83
213650,26.96,-0.05,53.97
19113,20.15,-6.86,47.17
217093,21.82,-5.19,48.84
162479,16.25,-10.76,43.27
215355,31.38,4.37,58.4
34853,32.52,5.5,59.53
5238,17.69,-9.32,44.7
199181,-8.15,-35.16,18.86
30763,9.5,-17.52,36.51
23962,25.73,-1.28,52.74
162542,24.59,-2.42,51.61
164955,16.17,-10.85,43.18
244779,11.22,-15.79,38.24
63772,13.92,-13.09,40.93
58563,39.32,12.31,66.33
78089,21.8,-5.22,48.81
94444,64.37,37.36,91.38
101753,8.53,-18.48,35.54
251410,-2.38,-29.39,24.64
14179,14.79,-12.22,41.8
270096,-1.57,-28.58,25.44
233086,103.17,76.15,130.18
284916,20.37,-6.64,47.38
74193,37.16,10.14,64.17
103341,8.43,-18.58,35.45
291205,14.53,-12.48,41.54
88983,33.3,6.29,60.31
82534,31.61,4.6,58.63
286874,18.5,-8.51,45.51
100040,20.81,-6.2,47.82
217760,45.71,18.7,72.73
266652,14.69,-12.33,41.7
61832,-1.13,-28.14,25.88
137599,11.0,-16.01,38.01
174965,18.08,-8.93,45.1
18040,46.5,19.49,73.51
58524,17.82,-9.2,44.83
171266,16.42,-10.59,43.43
10030,21.07,-5.94,48.08
162024,43.68,16.67,70.69
163291,10.48,-16.54,37.49
294437,17.67,-9.35,44.68
51314,41.21,14.19,68.22
218483,24.45,-2.57,51.46
85669,25.0,-2.01,52.02
215652,3.8,-23.21,30.81
36255,17.58,-9.43,44.59
49092,37.91,10.89,64.92
298198,-3.34,-30.35,23.67
44045,13.19,-13.83,40.2
110023,16.93,-10.09,43.94
172002,3.16,-23.86,30.17
85399,27.71,0.7,54.72
105800,19.86,-7.16,46.87
42458,11.29,-15.72,38.31
178459,4.3,-22.71,31.31
69618,3.96,-23.05,30.97
12761,14.75,-12.26,41.76
292914,23.03,-3.99,50.04
228328,16.09,-10.93,43.1
140141,38.3,11.29,65.31
25539,55.87,28.85,82.88
33663,14.27,-12.75,41.28
242502,23.37,-3.65,50.38
223699,24.72,-2.29,51.73
19205,46.87,19.86,73.88
49690,11.28,-15.73,38.29
115621,7.66,-19.35,34.68
57598,20.26,-6.75,47.27
284908,0.7,-26.31,27.72
177544,35.3,8.29,62.31
264135,-0.71,-27.72,26.31
102717,13.81,-13.2,40.82
276798,54.36,27.34,81.37
224574,20.44,-6.57,47.46
138061,30.92,3.91,57.93
249471,12.56,-14.45,39.58
176842,17.43,-9.59,44.44
280433,15.53,-11.49,42.54
209692,14.27,-12.75,41.28
62159,12.53,-14.48,39.54
133845,25.28,-1.73,52.3
59147,24.63,-2.38,51.65
152844,-5.07,-32.09,21.94
75098,26.47,-0.55,53.48
238859,16.44,-10.57,43.45
197832,10.39,-16.63,37.4
275776,28.45,1.44,55.46
248321,24.58,-2.43,51.59
269879,7.83,-19.18,34.85
284307,19.6,-7.42,46.61
104166,21.51,-5.5,48.53
281270,-0.24,-27.25,26.77
135131,6.39,-20.62,33.4
209467,6.07,-20.94,33.09
166261,106.19,79.17,133.2
245933,13.65,-13.37,40.66
153721,17.3,-9.71,44.32
3646,120.3,93.29,147.31
237417,38.27,11.26,65.29
215442,21.8,-5.21,48.82
87977,11.47,-15.55,38.48
120716,17.15,-9.86,44.17
187180,40.58,13.57,67.59
63153,50.56,23.55,77.57
65977,15.11,-11.9,42.12
191183,11.11,-15.9,38.12
110351,16.11,-10.91,43.12
119539,39.97,12.96,66.99
90844,36.23,9.21,63.24
251236,-0.15,-27.16,26.87
169149,4.54,-22.47,31.55
223973,29.24,2.23,56.25
187548,1.71,-25.3,28.72
159036,16.57,-10.44,43.58
120251,21.48,-5.54,48.49
106795,13.27,-13.74,40.29
226169,23.06,-3.95,50.07
239212,24.84,-2.17,51.85
294434,13.21,-13.8,40.23
217205,6.06,-20.95,33.07
140300,15.64,-11.38,42.65
211448,59.17,32.15,86.18
225829,21.95,-5.06,48.96
227063,25.0,-2.01,52.02
240532,12.72,-14.3,39.73
116224,18.63,-8.38,45.65
55619,9.39,-17.63,36.4
62817,21.7,-5.32,48.71
144132,24.05,-2.96,51.06
53510,16.75,-10.26,43.76
89636,19.6,-7.41,46.61
107939,13.49,-13.53,40.5
293615,18.39,-8.63,45.4
201658,21.35,-5.67,48.36
89586,21.02,-5.99,48.04
112198,18.24,-8.78,45.25
1582,58.01,31.0,85.02
133811,18.76,-8.25,45.77
95283,29.47,2.45,56.48
23471,34.03,7.01,61.04
88736,16.34,-10.67,43.35
118344,-0.08,-27.09,26.94
253964,17.24,-9.77,44.26
86507,11.9,-15.11,38.91
96407,1.79,-25.22,28.8
273197,10.98,-16.03,37.99
66453,46.52,19.51,73.53
115180,22.51,-4.5,49.52
162621,35.05,8.03,62.06
110915,23.08,-3.93,50.1
210108,33.88,6.87,60.89
74333,-0.85,-27.86,26.16
82603,19.98,-7.03,46.99
199689,9.86,-17.16,36.87
282438,5.32,-21.69,32.33
33356,-5.25,-32.27,21.76
240258,36.36,9.35,63.38
295892,84.35,57.33,111.36
256664,26.04,-0.98,53.05
157600,47.15,20.14,74.17
275769,30.86,3.85,57.87
222919,16.74,-10.27,43.75
204416,20.48,-6.53,47.49
161551,34.66,7.64,61.67
48298,47.85,20.83,74.86
75809,0.06,-26.95,27.07
76741,18.0,-9.01,45.01
2141,44.1,17.09,71.12
293335,-13.16,-40.17,13.85
5300,60.94,33.93,87.96
166037,25.72,-1.3,52.73
172478,25.12,-1.89,52.14
117858,12.01,-15.0,39.02
45549,2.15,-24.87,29.16
62256,31.39,4.38,58.4
100551,22.43,-4.58,49.45
209153,20.08,-6.93,47.09
218225,12.52,-14.49,39.53
224632,16.25,-10.77,43.26
149839,43.42,16.4,70.43
183237,8.82,-18.2,35.83
217677,32.7,5.69,59.72
167013,43.88,16.87,70.89
161088,56.26,29.24,83.27
298660,22.22,-4.79,49.24
20206,48.56,21.54,75.57
128292,15.72,-11.3,42.73
39289,2.6,-24.42,29.61
99516,33.21,6.2,60.23
161866,127.8,100.79,154.81
29163,24.25,-2.76,51.26
137414,17.19,-9.82,44.21
213579,7.62,-19.4,34.63
284687,17.94,-9.07,44.96
165009,13.12,-13.9,40.13
239007,14.12,-12.9,41.13
273898,13.83,-13.18,40.84
19997,44.84,17.83,71.86
211178,17.05,-9.96,44.06
297874,16.04,-10.97,43.06
281461,36.07,9.06,63.08
59477,11.89,-15.13,38.9
202090,33.84,6.83,60.85
240150,10.45,-16.56,37.47
54331,3.17,-23.85,30.18
222455,16.98,-10.03,43.99
193891,28.82,1.81,55.84
45020,17.53,-9.48,44.55
276612,34.39,7.38,61.4
91281,4.75,-22.27,31.76
82963,3.73,-23.29,30.74
45478,0.87,-26.14,27.88
277681,20.89,-6.12,47.91
96232,17.15,-9.87,44.16
118460,22.46,-4.55,49.48
130267,15.76,-11.25,42.78
58366,6.33,-20.69,33.34
179512,16.94,-10.08,43.95
144165,43.37,16.36,70.38
37744,26.0,-1.01,53.01
236036,28.08,1.06,55.09
47768,19.1,-7.91,46.11
160843,19.76,-7.25,46.77
117900,68.43,41.42,95.44
32266,7.46,-19.55,34.48
219817,22.92,-4.09,49.94
215068,18.92,-8.09,45.93
221397,37.96,10.94,64.97
118293,12.14,-14.87,39.15
273679,5.39,-21.63,32.4
53015,18.26,-8.75,45.27
276922,29.93,2.92,56.95
70754,35.56,8.55,62.58
155793,-1.14,-28.15,25.87
207029,9.61,-17.4,36.62
59976,16.64,-10.38,43.65
45358,3.59,-23.42,30.6
226926,9.2,-17.82,36.21
112405,7.32,-19.69,34.34
298901,17.36,-9.65,44.37
20390,65.0,37.99,92.01
185062,5.71,-21.3,32.72
63274,11.01,-16.0,38.02
54684,57.72,30.7,84.73
285161,-2.74,-29.75,24.28
200081,22.55,-4.47,49.56
218915,-11.16,-38.17,15.85
218462,28.59,1.58,55.61
50355,5.55,-21.46,32.56
231911,82.81,55.79,109.82
152128,82.12,55.11,109.14
203362,23.52,-3.49,50.53
100564,21.82,-5.19,48.83
134638,23.12,-3.89,50.13
11033,6.52,-20.49,33.53
215310,9.28,-17.74,36.29
169732,29.17,2.16,56.18
285481,-3.37,-30.38,23.65
60786,8.35,-18.66,35.37
271970,27.38,0.37,54.39
274027,4.4,-22.61,31.42
96959,36.03,9.01,63.04
34088,11.73,-15.29,38.74
39508,24.88,-2.13,51.89
38558,34.98,7.97,61.99
57206,19.25,-7.77,46.26
182227,30.57,3.55,57.58
217848,22.21,-4.8,49.22
60492,29.89,2.87,56.9
252246,24.02,-2.99,51.04
250513,6.57,-20.45,33.58
24086,5.67,-21.34,32.68
272321,16.79,-10.22,43.81
54111,12.71,-14.31,39.72
14176,27.14,0.13,54.16
26724,1.41,-25.6,28.43
240392,32.0,4.99,59.01
97074,6.7,-20.31,33.72
229286,46.14,19.13,73.16
5002,41.21,14.2,68.23
237864,26.65,-0.37,53.66
41492,10.45,-16.56,37.47
167138,30.83,3.81,57.84
294466,21.91,-5.1,48.92
262993,15.32,-11.7,42.33
217020,13.99,-13.02,41.01
19098,16.69,-10.32,43.71
176390,99.56,72.55,126.58
71785,61.23,34.21,88.24
235103,38.65,11.63,65.66
278040,15.62,-11.39,42.64
86895,13.79,-13.22,40.8
61487,3.57,-23.44,30.58
288428,11.98,-15.04,38.99
210330,5.41,-21.6,32.42
86541,33.73,6.72,60.75
230005,13.48,-13.54,40.49
37920,14.41,-12.6,41.43
172064,13.44,-13.57,40.45
224219,16.76,-10.25,43.78
20779,54.05,27.03,81.06
197261,30.46,3.45,57.47
185302,63.19,36.18,90.2
41890,17.45,-9.56,44.46
106050,21.33,-5.68,48.35
81051,18.46,-8.55,45.48
291064,20.3,-6.71,47.31
183740,87.0,59.98,114.01
13988,16.02,-11.0,43.03
299438,9.91,-17.11,36.92
103871,12.82,-14.2,39.83
124273,73.46,46.45,100.48
287269,30.7,3.69,57.71
257214,42.19,15.17,69.2
192079,6.16,-20.85,33.17
94414,30.07,3.06,57.08
220222,30.54,3.52,57.55
252860,20.09,-6.92,47.1
235058,27.55,0.54,54.57
50566,12.49,-14.52,39.51
65103,29.02,2.01,56.03
99993,22.47,-4.54,49.49
292742,29.36,2.34,56.37
3933,100.64,73.63,127.65
255477,43.4,16.39,70.41
240883,27.01,-0.0,54.02
155404,34.61,7.6,61.63
94077,34.25,7.24,61.26
226144,25.67,-1.35,52.68
271545,13.55,-13.47,40.56
178450,12.6,-14.41,39.61
153419,29.54,2.53,56.55
245669,21.03,-5.99,48.04
161062,60.77,33.76,87.79
87785,13.66,-13.36,40.67
58630,11.74,-15.27,38.75
203661,19.85,-7.17,46.86
120838,40.28,13.27,67.29
91764,31.69,4.67,58.7
159035,9.01,-18.0,36.03
85167,26.23,-0.78,53.25
162984,17.82,-9.19,44.83
206166,7.83,-19.19,34.84
165237,24.3,-2.71,51.32
107432,23.36,-3.66,50.37
127121,23.03,-3.98,50.05
129570,13.96,-13.05,40.97
232999,13.43,-13.58,40.45
134959,3.63,-23.38,30.64
267393,6.57,-20.45,33.58
171846,20.09,-6.93,47.1
24799,12.55,-14.46,39.57
42185,20.43,-6.58,47.44
132771,22.7,-4.32,49.71
255252,33.57,6.55,60.58
22833,19.88,-7.14,46.89
178466,4.34,-22.67,31.36
157863,-6.54,-33.55,20.47
278093,19.76,-7.25,46.77
143253,5.42,-21.59,32.43
247942,44.95,17.93,71.96
224018,15.09,-11.93,42.1
149313,9.29,-17.72,36.31
248116,20.26,-6.75,47.27
44098,12.03,-14.98,39.04
100011,19.89,-7.12,46.9
191079,10.74,-16.27,37.75
153665,7.38,-19.63,34.39
169054,14.79,-12.22,41.8
291479,11.47,-15.54,38.49
126974,40.3,13.29,67.32
145261,49.82,22.81,76.83
9419,3.83,-23.18,30.85
44450,9.31,-17.7,36.32
55692,44.74,17.73,71.76
237292,16.39,-10.62,43.4
147190,43.44,16.43,70.45
252054,9.19,-17.83,36.2
205627,8.2,-18.82,35.21
254065,101.54,74.53,128.55
218831,19.6,-7.41,46.61
140071,9.18,-17.84,36.19
111207,20.27,-6.74,47.28
43774,33.87,6.86,60.88
123697,20.93,-6.08,47.94
56610,25.88,-1.13,52.89
48689,12.36,-14.65,39.38
269574,20.39,-6.63,47.4
139638,6.55,-20.46,33.56
59375,33.8,6.79,60.81
119832,2.72,-24.3,29.73
224863,16.26,-10.75,43.27
29922,16.19,-10.83,43.2
213866,35.89,8.87,62.9
123247,15.48,-11.53,42.49
146447,41.18,14.17,68.19
258528,10.92,-16.1,37.93
63480,127.17,100.16,154.18
155684,5.6,-21.41,32.62
149719,62.07,35.06,89.09
61806,25.0,-2.02,52.01
77066,42.26,15.25,69.27
210077,18.51,-8.51,45.52
147921,48.95,21.94,75.96
219101,17.18,-9.83,44.19
209630,17.79,-9.22,44.8
192231,83.33,56.32,110.34
146029,40.99,13.98,68.0
196290,62.92,35.9,89.93
162853,16.75,-10.26,43.76
98261,13.17,-13.85,40.18
35710,9.76,-17.26,36.77
171945,3.05,-23.96,30.07
42419,9.57,-17.44,36.58
37327,27.73,0.72,54.75
185204,11.75,-15.26,38.76
255121,46.08,19.06,73.09
137024,23.6,-3.42,50.61
261628,10.63,-16.39,37.64
72322,16.87,-10.15,43.88
290267,19.8,-7.21,46.81
197352,18.7,-8.31,45.71
133275,14.99,-12.02,42.0
267912,4.5,-22.52,31.51
51634,15.01,-12.0,42.02
11943,15.82,-11.19,42.84
15579,27.13,0.12,54.15
